Time (s), Cell Name, Value
59.17092, C039, 910.2758
60.5726, C039, 1030.99
62.22458, C039, 777.7533
82.24858, C039, 560.7821
84.50127999999999, C039, 1029.978
85.6026, C039, 802.6951
89.45722000000001, C039, 808.8393
90.15806000000001, C039, 509.5315
143.1716, C039, 1128.832
146.47556, C039, 2107.189
149.02862, C039, 2501.339
149.77952, C039, 595.7566
150.58048, C039, 604.1163
154.33498, C039, 729.5732
155.28612, C039, 748.2289
157.4387, C039, 743.9822
168.60208, C039, 1384.645
168.90244, C039, 912.6841
169.60328, C039, 1798.979
190.17794, C039, 700.7855
234.33086, C039, 570.4344
235.13182, C039, 524.3321
246.5455, C039, 768.7652
247.0461, C039, 970.792
248.34766, C039, 1140.376
248.74814, C039, 1075.322
251.60156, C039, 649.3664
252.0521, C039, 583.8865
261.41332, C039, 639.7866
293.45172, C039, 731.5232
39.94788, C040, 675.296
42.25064, C040, 826.0525
88.25578, C040, 537.9435
110.28218, C040, 596.501
112.18446, C040, 563.2924
123.1476, C040, 508.5392
129.60534, C040, 541.32
133.960559, C040, 686.5724
179.81552, C040, 509.6548
186.62368, C040, 461.2034
196.18514, C040, 569.2096
199.63928, C040, 2456.146
202.19234, C040, 581.6917
202.29246, C040, 562.4274
204.39498, C040, 1098.497
210.55236, C040, 564.188
211.7538, C040, 544.5269
212.80506, C040, 618.0089
219.91358, C040, 520.2356
229.42498, C040, 437.1598
230.47624, C040, 418.7801
264.3168, C040, 441.0802
265.968779, C040, 453.7281
270.52424, C040, 460.3983
271.97598, C040, 436.228
276.63156, C040, 487.3534
281.28714, C040, 550.5356
286.54344, C040, 463.6752
305.66636, C040, 612.3569
31.2875, C041, 527.1384
33.89062, C041, 707.2943
62.42482, C041, 615.5251
102.02228, C041, 563.373
190.82872, C041, 481.6866
211.7538, C041, 501.1569
274.22868, C041, 501.6055
277.63276, C041, 1733.196
4.85582, C042, 953.9312
5.80696, C042, 1535.637
50.16012, C042, 416.084
50.96108, C042, 1058.635
51.76204, C042, 419.4579
98.16766, C042, 887.8221
99.01868, C042, 1079.389
99.56934, C042, 518.7077
103.67426, C042, 706.4487
106.27738, C042, 406.1806
111.53368, C042, 642.0399
114.1368, C042, 490.5134
115.78878, C042, 1111.562
121.59574, C042, 786.008
123.94856, C042, 521.7895
131.107139, C042, 683.1324
135.6626, C042, 1057.332
136.81398, C042, 707.5706
137.96536, C042, 1450.932
141.11914, C042, 1320.537
142.671, C042, 900.6517
144.87364, C042, 546.0238
145.32418, C042, 753.1547
146.6758, C042, 495.4007
147.37664, C042, 635.6647
150.78072, C042, 1087.559
152.23246, C042, 1179.338
154.63534, C042, 1133.675
156.08708, C042, 1154.936
180.61648, C042, 625.295
192.03016, C042, 545.6378
207.29846, C042, 681.2685
209.85152, C042, 817.0181
211.7538, C042, 424.2208
218.41178, C042, 853.0155
248.0473, C042, 1029.373
248.59796, C042, 1044.649
249.69928, C042, 986.2325
254.20468, C042, 420.3453
273.37766, C042, 426.4378
304.21462, C042, 898.0153
68.68232, C043, 771.9079
70.68472, C043, 1505.963
71.8361, C043, 1491.354
77.29264000000001, C043, 970.2316
82.94942, C043, 654.9547
83.50008, C043, 1070.041
85.65266, C043, 815.0065
87.05434, C043, 752.7264
125.45036, C043, 751.6241
131.958159, C043, 804.1509
133.00942, C043, 1624.127
136.01302, C043, 1656.082
137.36464, C043, 2208.976
